,name,date,votes,all_votes,winner,win_difference
2812,a human attempting to sneak into a wolf keidran village by dressing in a wolf fursuit.,2018-07-15 21:16:41.269612983+00:00,51,92,False,0
54,dragon nibbly,2017-04-09 23:33:42.407810162+00:00,50,82,False,0
3419,holiday party shenanigans. maren catching sythe under the magic mistletoe.,2018-11-12 00:32:55.510927387+00:00,50,50,True,7
1057,pet keidran daughter hijinks - her parents tell her she was adopted.,2017-09-25 00:45:17.020158780+00:00,49,49,True,7
737,female characters backside comparison chart,2017-08-13 19:49:13.074221271+00:00,49,78,False,0
3489,"winter: sam “trips” into colin’s fluff, leaving one flushed doggo.",2018-11-19 01:53:09.832420605+00:00,46,46,True,14
4317,a tigress noble helps guide two male human cartographers to map out the tiger territory!,2019-03-10 21:38:19.250108325+00:00,46,82,False,0
330,eric discovers the internet,2017-05-22 01:01:52.212105333+00:00,46,46,True,1
1925,iris & her friend quiz therie about what she has learned,2018-02-18 21:37:15.105538262+00:00,44,44,True,3
106,"all the main male characters lined up, showing off their physique.",2017-04-16 21:38:56.222254865+00:00,43,83,False,0
3022,the girls playing truth or dare ,2018-08-19 21:45:24.018857630+00:00,43,70,False,0
1903,a steamy encounter: therie sah-van surprises daniels in the guards' showers.,2018-02-12 01:00:54.622676335+00:00,42,42,True,3
2717,"after the hint in their last sketch, therie & daniels as proud parents.",2018-06-18 02:27:04.858960863+00:00,41,41,True,6
967,new type: lynx keidran,2017-09-17 22:07:51.372271938+00:00,41,64,False,0
3140,"adventurer at snow leopard village hugs a fluffy tail, causes a diplomatic incident",2018-09-16 21:22:59.399161481+00:00,41,65,False,0
10063,how the artic wolf and northern basitin met and later become a couple.,2021-04-05 02:13:54.680717527+00:00,40,40,True,2
1235,tigress #37 comforts daniels post-battle,2017-10-22 20:13:43.642304198+00:00,39,76,False,0
203,updated bust chart of the gender-bent group,2017-05-09 22:24:49.697449485+00:00,39,39,True,12
7651,karen catches maren giving sythe a belly rub,2020-08-02 21:17:07.107729070+00:00,39,39,True,6
97,daniels' tigress friend dragging him off to shepards square,2017-04-16 19:42:05.738485880+00:00,39,77,False,0
2065,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-11 22:20:50.280200432+00:00,39,61,False,0
1716,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-14 23:57:11.336804041+00:00,38,56,False,0
2666,adira dakimakura,2018-06-17 20:39:02.714569657+00:00,38,63,False,0
10837,sythe rubs wolf-maren paws to help her relax. maren pretends she doesn't like this,2021-06-20 23:55:06.909045035+00:00,38,38,True,1
9354,maren's pet grooming instincts kick in and she decides to give sythe a bath... together.,2021-01-10 21:09:37.664629091+00:00,38,38,True,3
9707,"maren opens a box of valentine's chocolates, only somehow mrs nibbly got in and has eaten half of them",2021-02-14 23:56:45.059357751+00:00,37,37,True,5
1427,"a keiser family thanksgiving (western basitin style, how scandalous).",2017-11-19 21:14:00.680232302+00:00,37,67,False,0
1035,strip poker 2: lt. reed vs. sythe,2017-09-24 22:44:39.598511145+00:00,37,61,False,0
1695,nibbly rocking out to some metal. \m/,2018-01-14 22:51:45.000378404+00:00,37,57,False,0
351,"""building alliances...through strip poker!?"" kei and alelaide",2017-06-05 00:01:40.606949578+00:00,37,37,True,3
11392,good morning amelia,2021-09-12 22:03:59.150283064+00:00,37,37,True,7
791,yes,2017-08-20 19:37:56.065028222+00:00,37,37,True,27
4451,maren brushes out sythe's matted fur as he lounges on her lap.,2019-04-07 20:15:27.181231854+00:00,37,72,False,0
2819,"the set of twokinds has a wardrobe problem as everyone is dressed in someone else's clothes, or lack thereof. ",2018-07-15 21:16:41.269612983+00:00,36,85,False,0
7979,a town guard struggling to move an unusually heavy white cat that is blocking the road.,2020-08-23 23:15:50.064954856+00:00,36,36,True,7
1159,collar of keidranification: saria legacy into a lioness keidran,2017-10-16 20:06:52.325302417+00:00,35,35,True,0
1588,pet daughter: her first family christmas,2017-12-18 01:11:41.945103856+00:00,35,55,False,0
131,"updated ""bust chart"" for the gender bent groups",2017-04-23 19:40:58.384118689+00:00,35,63,False,0
3690,"""good guy"" guy: guy helps a wasted keidran red to the inn, while refusing her drunken curious advances.",2018-12-16 23:40:15.491671430+00:00,35,51,False,0
2609,daniels takes therie home to meet his parents. awkward family dinner ensues.,2018-06-10 21:34:05.543128384+00:00,35,49,False,0
11650,twokinds calendar. how many months in a year? days in a month? what are the significant dates?,2021-10-03 23:18:02.122877750+00:00,35,35,True,2
1625,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-07 22:52:19.948271102+00:00,35,61,False,0
589,beach party featuring main cast of twokinds. just kicking back and having fun before the summer ends.,2017-07-09 22:09:12.800429657+00:00,35,73,False,0
1366,unique keidran cultural practices or rituals,2017-11-12 21:21:32.902575988+00:00,35,58,False,0
1414,pet daughter: walks pre & post da-da incident,2017-11-13 01:14:08.871207510+00:00,34,34,True,3
11502,"the taverndatter sisters team up for a spectacular, extravagant, even daring bar trick",2021-09-19 21:52:28.559173218+00:00,34,34,True,3
9855,"mrs nibbly, in her anthro form, is lounging on her new wolf-skin rug. which looks a lot like remus...",2021-02-22 01:26:51.149651894+00:00,34,34,True,8
3034,sealeen spikes edinmires water with her transformation potions.,2018-08-19 23:29:28.163445356+00:00,34,50,False,0
3064,"the human explorer hugs one of the snow leopard's fluffy tails, causing a diplomatic incident",2018-08-20 00:47:00.645767275+00:00,34,54,False,0
2601,sam use colin as big fluffy pillow.,2018-06-10 20:02:06.470659224+00:00,34,50,False,0
12075,sam and collin introducing the other to their respective thanksgiving traditions.,2021-11-21 22:41:00.075465096+00:00,33,33,True,4
3479,gtog night 3: fem keidran red goes the wrong club and gets hit on by male keidran using cheesy keidran pickup lines. ,2018-11-19 00:14:34.495572498+00:00,33,49,False,0
2828,toms birthday: page 92 - redrawn,2018-07-15 22:41:07.774261574+00:00,33,62,False,0
10881,"mary silverlock uses transformation magic to turn into a snow wolf keidran. out of morbid curiosity, although feeling embarrassed doing so, she removes her robes to inspect her body in the fur.",2021-06-21 02:11:44.323992664+00:00,33,33,True,5
3991,raf kieth joins the ww2 lineup,2019-01-21 02:06:39.749899544+00:00,32,50,False,0
1006,renamon either posing for eric or threatening to punch him over a portrait of her.,2017-09-18 01:57:11.430304911+00:00,32,42,False,0
2738,daniels proposing to therie in secret.,2018-06-24 20:26:45.357895709+00:00,32,61,False,0
12051,the modern trio visit mekkan's greatest natural wonder.,2021-11-15 03:47:53.887803569+00:00,32,32,True,2
2207,daniels proposes to therie who tearfully smiles at the gesture about to say yes,2018-04-08 22:18:15.503396062+00:00,32,60,False,0
11376,"first time, interspecies edition: the wolf girl and human guy from the chart have a moment alone;  the human realizing that despite their reputation, wolves can be quite friendly...and playful.",2021-09-06 04:00:32.176678542+00:00,32,32,True,2
5425,lore: why don't dogs like foxes?,2019-11-17 22:20:41.455981072+00:00,32,32,True,2
3028,snow leopard hotel cultural research ,2018-08-19 21:45:24.018857630+00:00,32,69,False,0
9100,"what happens if the player selects the ""lol flat cat"" option in the twokinds high dating sim.",2020-12-14 03:28:38.809182051+00:00,32,32,True,8
4148,cheetah keidran species,2019-02-17 21:03:31.311546809+00:00,32,74,False,0
3134,nibbly dressed as the grim reaper with her “sythe”,2018-09-16 21:22:59.399161481+00:00,31,61,False,0
8839,cat keidran karen,2020-11-22 22:19:05.204719348+00:00,31,31,True,2
2760,ms. potts uses a stepladder to pet colin,2018-06-24 22:52:43.225474232+00:00,31,70,False,0
1978,what would a dragon keidran look like?,2018-03-04 21:07:44.683630157+00:00,31,59,False,0
2015,revenge of the prankster pixies,2018-03-04 23:25:24.567696766+00:00,31,56,False,0
1872,iris & her friend quiz therie about what she has learned about the humans (daniels).,2018-02-11 22:26:15.339837687+00:00,31,53,False,0
1017,twokinds characters cosplaying who their favorite videogame characters would be.,2017-09-24 20:45:41.281853497+00:00,31,85,False,0
8257,adira and amelia playing under a waterfall (for sneptember!),2020-09-20 20:12:32.345967329+00:00,31,31,True,7
8982,holidays with the snow leopard tribe,2020-12-06 23:37:48.126504848+00:00,31,31,True,1
148,animorphs: maren transform into a keidran,2017-04-23 23:17:08.294441894+00:00,31,66,False,0
11080,sythe druid of the forest (with nibbly),2021-07-11 23:29:12.283586965+00:00,31,31,True,0
1245,"rework the map, with locations where you might find the new races",2017-10-22 22:18:03.917222648+00:00,31,48,False,0
2416,"fem fur red is taken shopping for some new clothes by karen, who's having a great time",2018-05-06 23:11:32.356055299+00:00,31,45,False,0
11574,chimera ref sheet,2021-09-20 03:43:10.907398096+00:00,30,30,True,4
6051,sythe reference sheet,2020-02-16 23:59:36.758197785+00:00,30,30,True,5
2079,seraphina finally becomes a dragon! unfortunately for her she's lizard sized.,2018-03-12 20:56:01.244141939+00:00,30,30,True,4
11582,wolf girl and human man from the races chart sitting down together and actually getting to know one another,2021-09-20 04:37:55.119177726+00:00,30,30,True,8
963,eric's first drawing lessons: being shy with models,2017-09-17 20:40:38.154259226+00:00,30,67,False,0
5620,"the explorers are invited to share a communal tiger bed, much to their embarrassment ",2019-12-08 21:44:25.686487886+00:00,30,30,True,1
1799,auditions to twokinds: the movie,2018-02-04 22:21:09.452717121+00:00,30,61,False,0
1914,the female main character from the halfkind comic returns!,2018-02-18 21:02:14.482272429+00:00,29,46,False,0
56,keidranification: maren the kitty!,2017-04-09 23:33:42.407810162+00:00,29,82,False,0
2861,ms. potts uses a stepladder to pet colin,2018-07-15 23:17:11.131952885+00:00,29,47,False,0
3217,renamon posing for a portrait for eric,2018-10-14 20:01:09.431946659+00:00,29,59,False,0
828,female characters' backside comparison chart,2017-08-20 23:48:55.694841418+00:00,29,57,False,0
5968,"eric's lewd suggestion. eric is a patron and his suggestion wins the ballot, all hell breaks loose.",2020-01-26 23:01:01.424370699+00:00,29,29,True,1
10103,if lauren had a lost white fox sister,2021-04-05 03:28:28.134953503+00:00,29,29,True,1
9418,a full body drawing of a female keidran red nose reindeer.,2021-01-11 01:47:12.528704935+00:00,29,29,True,4
11041,"what if karen put on the collar in magical mishaps, as she intended to do?",2021-07-05 01:31:32.628649464+00:00,28,28,True,6
853,"maren over-grooms sythe (maren gets carried away with grooming sythe, to the point of putting a bow on his head) ",2017-08-27 20:57:03.531119374+00:00,28,82,False,0
3395,sam & colin cuddling while watching & discussing their favourite tv show: twokinds.,2018-11-11 23:05:14.801660065+00:00,28,50,False,0
767,lieutenant reed and daniels getting cursed with keidranfication collars!,2017-08-13 23:04:50.218377858+00:00,28,68,False,0
5823,"nib nab 3,  nibby gets sythe and maren",2020-01-05 23:11:47.662419466+00:00,28,28,True,7
5515,"maren has a “nightmare” where she is getting married, with sythe becoming her husband.",2019-11-24 21:44:57.329552218+00:00,28,28,True,3
3988,birbkinds: what would a bird keidran look like?,2019-01-21 02:06:39.749899544+00:00,28,58,False,0
9538,"hunky snep guy finally pops the question to explorer girl, who is ecstatic and filled with so many questions! like why is he carrying her to the nearest hut, and what will happen once they get inside?",2021-01-25 04:07:26.042456475+00:00,28,28,True,2
6167,"teleporter mishap: nibbly and maren combined, transforming maren into an anthro squirrel version of herself.",2020-02-24 00:28:21.160623868+00:00,27,27,True,8
10527,good morning sythe,2021-05-24 02:55:44.451990921+00:00,27,42,False,0
2122,daniels & therie wake up in the same bed.,2018-03-18 21:03:47.290381912+00:00,27,77,False,0
10631,"wolf maren can't control her instincts - montage of hindpaw scratching, involuntary barks, howling - while she yells to her out of this unruly form.",2021-06-07 00:01:38.061988710+00:00,27,27,True,5
4429,"red's week of female keidranification is over, only the collar left some ""unfortunate"" side effects from being left on for a week straight.",2019-03-18 00:58:07.285691107+00:00,27,58,False,0
4198,"eric ""studies"" chimera to see what kind of keidran she actually is, and he also adds a new painting to his collection",2019-02-19 01:32:19.644004353+00:00,27,39,False,0
560,lt alice reed trying to interrogate the captured wolf terrorist but being distracted by it's fluffy cuteness.,2017-06-25 23:01:33.089408584+00:00,27,55,False,0
641,that adorable river mermaid from last week's rowboat romance sketch,2017-07-16 22:59:00.818940323+00:00,27,41,False,0
3959,half kind returns: an updated look of the main character from the pre-twokinds comic,2019-01-21 00:13:54.252401293+00:00,27,53,False,0
8916,the snow leopard family thanksgiving after years of not seeing each other adira and amelia are overwhelmed!,2020-11-23 02:02:25.533239750+00:00,26,26,True,4
6027,"the explorers get married to their tiger mates, keidran-style",2020-02-16 21:58:29.066856226+00:00,26,26,True,1
10689,"wolf maren is giving loving nuzzles to sythe, but it’s purely instinct and nothing else!",2021-06-13 21:22:47.081741799+00:00,26,33,False,0
4712,"no shirt, no pants, no service. adira throws sythe out of the tavern for wearing only his loincloth",2019-05-06 00:16:47.534407552+00:00,26,26,True,3
1031,female panther keidran in your style,2017-09-24 22:44:39.598511145+00:00,26,65,False,0
6517,"a gender swapped version of the three basitin generals, in swimsuits.",2020-04-06 01:02:45.308093729+00:00,26,26,True,3
9595,monty python holy hand grenade scene: the main 4 encounter a dangerous monster (nibbly) blocking their path. the only solution is to use the holy hand grenade.,2021-02-07 22:50:41.202700005+00:00,26,36,False,0
912,female characters' backside comparison chart,2017-09-10 21:45:56.745981717+00:00,26,79,False,0
3383,guy-to-girl's night 3- fem red goes to the wrong club by mistake; male keidren try to pick her up using cheesy pickup lines.,2018-11-11 21:06:44.561135084+00:00,26,60,False,0
2585,adira swimsuit pinup,2018-06-10 20:02:06.470659224+00:00,26,53,False,0
1638,nibbly rocking out to some metal. \m/,2018-01-08 00:55:02.466771923+00:00,25,50,False,0
962,more fluffy winter coats,2017-09-17 20:40:38.154259226+00:00,25,72,False,0
1719,iris and her friend quiz therie about what she has learned about the humans (daniels).,2018-01-21 21:38:10.578852645+00:00,25,53,False,0
408,western basitin wearing nothing but ornamental ankle coverings,2017-06-11 19:51:32.157282077+00:00,25,57,False,0
1611,mrs. nibbly's origin story,2018-01-07 22:52:19.948271102+00:00,25,64,False,0
146,all male characters lined up showing off their physique,2017-04-23 23:17:08.294441894+00:00,25,66,False,0
1533,iris and her friend quiz therie about what she has learned about the humans (daniels).,2017-12-11 01:37:16.147736134+00:00,25,33,False,0
1886,ms. potts uses a stepladder to pet colin,2018-02-11 23:52:03.072312029+00:00,25,43,False,0
6968,good morning maren,2020-05-17 22:58:58.710538770+00:00,25,25,True,1
11652,"succubus maren gives her victim sythe the choice of what to play with him, trick or treat",2021-10-03 23:18:02.122877750+00:00,25,35,False,0
2973,"a human explorer hugs one of the snow leopard's fluffy tails, causing a minor diplomatic incident",2018-08-12 23:20:38.185857563+00:00,25,51,False,0
2570,"karaoke night at the estate. who's the best singer, who's the worst, and who secretly loves death metal. ",2018-05-20 23:58:00.342770164+00:00,24,44,False,0
2709,a father's day miracle: a proud euchre & mary play w/ their new daughter.,2018-06-18 02:27:04.858960863+00:00,24,39,False,0
760,the remaining twokinds cast playing a second d&d style game,2017-08-13 21:38:22.636594642+00:00,24,81,False,0
8411,big titty werewolf girlfriend ,2020-10-05 01:17:03.354470477+00:00,24,30,False,0
4277,maren can’t get the image of stupid sexy sythe out of her head. it’s like he’s wearing nothing at all!,2019-03-04 02:16:39.016922754+00:00,24,54,False,0
1276,coyote keidran,2017-10-23 00:48:23.629941579+00:00,24,43,False,0
9578,snow leopard honeymoon: the north pole newlyweds doing (wholesome) honeymoon things in the tent. hot cocoa and snuggles perhaps.,2021-02-07 21:06:07.737048811+00:00,24,42,False,0
3477,ralsei and susie from deltarune,2018-11-19 00:14:34.495572498+00:00,24,43,False,0
10356,amelia finds windstraw taking a bath in the sink along with the dishes she’s supposed to be washing.,2021-05-16 21:44:19.145160565+00:00,24,29,False,0
1971,tiger keidran marriage ceremony ,2018-03-04 21:07:44.683630157+00:00,24,61,False,0
11764,"wolf maren cuddling sythe in bed, she tells him it’s purely instinct though she refuses to let go of him.",2021-10-10 23:52:29.177745044+00:00,24,34,False,0
5759,"sythe and maren enjoying a bowl of spaghetti, but end up with a lady and the tramp moment.",2019-12-16 00:59:10.473648021+00:00,23,23,True,1
3199,daniel's and therie on the road: difference between human hunting and tiger hunting.,2018-09-17 02:24:49.137541564+00:00,23,51,False,0
8462,nibbly carves a pumpkin from the inside (by eating it),2020-10-11 20:14:14.015544866+00:00,23,30,False,0
4221,"evalyn discovers that by dressing herself up, and flirting with the guys at the bar, she can get free drinks! there's no way this can go wrong at all!",2019-03-03 21:56:58.442548813+00:00,23,69,False,0
5989,adira wearing a skimpy tribal outfit and jewelry.,2020-01-27 00:11:23.820671070+00:00,23,23,True,5
516,sealeen & lynn diplomatic meeting/date: lynn demonstrates proper scroll-writing. sealeen is distracted by how cute his ears look.,2017-06-25 19:38:15.280507769+00:00,23,53,False,0
1806,ms. potts uses a stepladder to pet colin,2018-02-04 22:21:09.452717121+00:00,23,52,False,0
117,delivery/pizza tom's job interview,2017-04-17 00:34:00.592646989+00:00,22,62,False,0
11459,chimera ref sheet,2021-09-13 01:15:50.661559308+00:00,22,27,False,0
1924,adira daki pillow design,2018-02-18 21:37:15.105538262+00:00,22,46,False,0
11906,"maren gives sythe some dance lessons, and finds out he's a lot better than she initially thought.",2021-11-08 01:37:11.515622008+00:00,22,31,False,0
11504,"wolf maren cuddling sythe in bed, she tells him it’s purely instinct though she refuses to let go",2021-09-19 21:52:28.559173218+00:00,22,34,False,0
625,male and female human-keidran hybrids,2017-07-16 21:39:10.442342141+00:00,22,56,False,0
12080,"scarlet returns part 2, double or nothing. ""red"" doubles down on her bet... and loses again. now she's got to spend a week living in a keidran village, complete with traditional garb (or lack of it)",2021-11-21 22:41:00.075465096+00:00,22,31,False,0
1697,iris and her friend quiz therie about what she has learned about the humans (daniels).,2018-01-14 22:51:45.000378404+00:00,22,53,False,0
4630,euchre reference sheet,2019-04-22 01:36:42.220640701+00:00,22,57,False,0
2859,sexy iris dakimakura,2018-07-15 23:17:11.131952885+00:00,22,45,False,0
6604,maren reference sheet,2020-04-12 23:58:02.835450050+00:00,22,22,True,2
3144,the manner's defenses turns sythe into a human woman and red into a white female wolf,2018-09-16 21:22:59.399161481+00:00,22,62,False,0
2095,nibbly rocking out to some metal. \m/,2018-03-18 19:59:43.494371184+00:00,22,59,False,0
53,lieutenant daniels being dragged to shephard square by his tiger friend,2017-04-09 23:33:42.407810162+00:00,22,87,False,0
11140,"wolf maren is giving sythe affectionate nuzzles, she tells him that it’s purely instinct and nothing else",2021-07-12 03:05:26.225450831+00:00,22,30,False,0
46,lynn/sealeen date,2017-04-09 21:42:50.560379043+00:00,21,64,False,0
3,delivery/pizza tom's job interview,2017-03-26 19:46:03.387260818+00:00,21,59,False,0
7973,the explorers study ancient wall paintings in company of tigress.,2020-08-23 23:15:50.064954856+00:00,21,27,False,0
11837,good morning brutus,2021-10-11 03:52:39.165072491+00:00,21,29,False,0
1560,iris and her friend quiz therie about what she has learned about the humans (daniels).,2017-12-17 21:42:52.961444431+00:00,21,47,False,0
3407,the main four enjoying a bonfire one crisp autumn night. perhaps w/ some marshmallows,2018-11-12 00:32:55.510927387+00:00,21,46,False,0
10846,"twokinds lore: the first ""festival of the beasts"" and how the humans and keidran interacted",2021-06-20 23:55:06.909045035+00:00,21,36,False,0
1817,"daniels and therie sah-van, dinner for two at the riftwall tavern east.",2018-02-04 23:29:05.258333886+00:00,21,52,False,0
12035,good morning wolf maren,2021-11-15 02:19:22.778723592+00:00,21,33,False,0
2744,happy family au: a proud euchre & mary play w/ their new daughter.,2018-06-24 21:40:13.463051533+00:00,21,47,False,0
4193,"a squirrel theater reenactment twokinds’ first scene, directed by nibbly, much to the surprise of the real characters. ",2019-02-17 23:58:31.139634599+00:00,21,51,False,0
2195,adira daki pillow design,2018-04-08 20:25:59.081272032+00:00,21,67,False,0
5041,full remake of page 69.,2019-08-19 01:54:04.153038564+00:00,21,21,True,0
5796,"the female explorer arrives at the tiger village, finding her male colleagues have gone native and taken tiger mates. ",2020-01-05 21:18:32.504671785+00:00,20,20,True,2
594,twokinds cast as members of the firefly crew,2017-07-09 22:09:12.800429657+00:00,20,61,False,0
9767,"mrs nibbly, in her anthro form, is lounging on her new wolf-skin rug. which looks a lot like remus...",2021-02-15 03:15:50.869081934+00:00,20,29,False,0
747,concepts for male and female lion keidran,2017-08-13 19:49:13.074221271+00:00,20,70,False,0
9,tsudere wrinry the dragon girl,2017-03-26 21:11:16.058936550+00:00,20,61,False,0
6259,madelyn reference sheet,2020-03-08 23:20:20.659355314+00:00,20,20,True,4
2608,adira dakimakura (body pillow),2018-06-10 21:34:05.543128384+00:00,20,41,False,0
4367,"keidran nibbly gets a tummy ache, sythe comforts her with a belly rub.",2019-03-17 20:09:07.409515805+00:00,20,60,False,0
5883,the explorers enjoy watching the tiger tribe ceremonial party celebrating the new year. with a tigress and the noble tigress wanting them to dance with them.,2020-01-12 23:43:53.415429989+00:00,20,30,False,0
1247,adira posing for a surprised nature documentary crew,2017-10-22 22:18:03.917222648+00:00,20,52,False,0
4524,euchre character sheet,2019-04-14 20:02:02.309131876+00:00,20,60,False,0
5957,the explorers enjoy watching the tiger tribe ceremonial party celebrating the new year. with a tigress and the noble tigress wanting them to dance with them.,2020-01-26 23:01:01.424370699+00:00,20,26,False,0
1082,"cliche dramatic ""death"" scene for nibbly (sythe holding nibbly, nibbly paw on her forehead like bad stage play actor)",2017-10-08 20:37:12.307080671+00:00,20,66,False,0
11311,chimera ref sheet,2021-09-06 01:03:22.428715979+00:00,19,23,False,0
4917,"a tigress noble joins two male human cartographers map out the tiger territory, similar to lewis and clark with sacajawea.",2019-07-14 21:32:36.610719273+00:00,19,29,False,0
542,archmage eric of the inappropriate spell book,2017-06-25 20:42:53.523887299+00:00,19,45,False,0
2408,sythe in diplomatic regalia riding a super sized nibbly in the middle of doing the akira power slide.,2018-05-06 23:11:32.356055299+00:00,19,44,False,0
2406,"sealeen tries to use her potions to brew coffee for landen, but it has unexpected side-effects.",2018-05-06 22:05:01.943006749+00:00,19,50,False,0
2482,eric convinces iris and her friend to pose for a painting. (the tigresses from page 900),2018-05-13 22:09:12.484895799+00:00,19,68,False,0
10598,good morning brutus,2021-06-06 21:42:44.224671268+00:00,19,29,False,0
6144,adira asks a ruffled explorer girl how her dating advice worked. explorer girl desperately asks for more advice. lots more. preferably in book form.,2020-02-23 22:46:34.755861565+00:00,19,28,False,0
793,krystal from the star fox series,2017-08-20 19:40:59.041121700+00:00,19,59,False,0
11689,"the two basitins from ""basitin first time"" laying next to each other in a messy bed looking surprised/embarrassed and saying ""wow"" in unison.",2021-10-04 00:26:54.467537306+00:00,19,29,False,0
315,"guardsmen kei, representing edinmire, vs king of basitins, diplomatic strip poker",2017-05-21 23:04:30.607272074+00:00,19,53,False,0
2121,modern military basitins.,2018-03-18 21:03:47.290381912+00:00,19,62,False,0
3803,half kind returns: the main heroine of the pre-twokinds comic gets an updated look.,2019-01-06 22:20:06.068538581+00:00,19,44,False,0
2635,a tiger tribe witch doctor,2018-06-10 23:19:09.267466863+00:00,18,52,False,0
8203,brutus character reference sheet,2020-09-14 01:16:34.331524626+00:00,18,21,False,0
11393,good morning brutus,2021-09-12 22:03:59.150283064+00:00,18,33,False,0
4195,au where kiedran nibbly meets an unusually friendly wild (non-keidran) wolf. mr. sythe!,2019-02-17 23:58:31.139634599+00:00,18,62,False,0
3526,"magpie, treasure hunter, skinny dipping to get through an underwater cave, to a male basitin's shock.",2018-11-25 22:27:43.013983410+00:00,18,44,False,0
7904,dog keidrans playing poker: brutus is winning while having his silly grin as his ultimate poker face.,2020-08-17 01:32:16.465017837+00:00,18,26,False,0
